bucket_owner,bucket,datetime,ip,requestor_id,request_id,operation,key,http_method_uri_proto,http_status,s3_error,bytes_sent,object_size,total_time,turn_around_time,referer,user_agent,cid,ec,ea,an,av,sr
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:38 +0000,24.193.78.37,-,689E4DC8F1E8308E,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,26,26,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:55:19 +0000,24.193.78.37,-,73E07AD362A68777,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,39,38,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:39:14 +0000,24.193.78.37,-,2F2449250DF6BAED,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,98,98,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:38 +0000,24.193.78.37,-,0CF0A5FE2244F9C5,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,32,31,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:57 +0000,24.193.78.37,-,736221DA79D0EDED,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=open&el= HTTP/1.1,200,-,1,1,26,26,-,-,['FOO'],['application'],['open'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:44:56 +0000,24.193.78.37,-,534CD9AD998DF327,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,28,28,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:58 +0000,24.193.78.37,-,2BA9383706ABD85C,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,31,30,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:54:03 +0000,24.193.78.37,-,8F8F31A4453FB994,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,25,25,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:08 +0000,24.193.78.37,-,749C78AD0DCAB835,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,98,98,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:29:58 +0000,24.193.78.37,-,5F70887889AE4922,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,36,35,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
